,sents,name,href,sent_without
0,Cтоит в поле теремок.,Теремок,https://skazki-pesni.ru/teremok/,cтоит в поле теремок 
1,Бежит мимо мышка-норушка.,Теремок,https://skazki-pesni.ru/teremok/,бежит мимо мышка-норушка 
2,"Увидела теремок, остановилась и спрашивает: – Терем-теремок!",Теремок,https://skazki-pesni.ru/teremok/,увидела теремок остановилась и спрашивает терем-теремок 
3,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
4,Никто не отзывается.,Теремок,https://skazki-pesni.ru/teremok/,никто не отзывается 
5,Вошла мышка в теремок и стала в нём жить.,Теремок,https://skazki-pesni.ru/teremok/,вошла мышка в теремок и стала в нём жить 
6,Прискакала к терему лягушка-квакушка и спрашивает: – Терем-теремок!,Теремок,https://skazki-pesni.ru/teremok/,прискакала к терему лягушка-квакушка и спрашивает терем-теремок 
7,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
8,"– Я, мышка-норушка!",Теремок,https://skazki-pesni.ru/teremok/, я мышка-норушка 
9,А ты кто?,Теремок,https://skazki-pesni.ru/teremok/,а ты кто 
10,– А я лягушка-квакушка.,Теремок,https://skazki-pesni.ru/teremok/, а я лягушка-квакушка 
11,– Иди ко мне жить!,Теремок,https://skazki-pesni.ru/teremok/, иди ко мне жить 
12,Лягушка прыгнула в теремок.,Теремок,https://skazki-pesni.ru/teremok/,лягушка прыгнула в теремок 
13,Стали они вдвоём жить.,Теремок,https://skazki-pesni.ru/teremok/,стали они вдвоём жить 
14,Бежит мимо зайчик-побегайчик.,Теремок,https://skazki-pesni.ru/teremok/,бежит мимо зайчик-побегайчик 
15,Остановился и спрашивает: – Терем-теремок!,Теремок,https://skazki-pesni.ru/teremok/,остановился и спрашивает терем-теремок 
16,Кто в тереме живёт?,Теремок,https://skazki-pesni.ru/teremok/,кто в тереме живёт 
17,"– Я, мышка-норушка!",Теремок,https://skazki-pesni.ru/teremok/, я мышка-норушка 
18,"– Я, лягушка-квакушка.",Теремок,https://skazki-pesni.ru/teremok/, я лягушка-квакушка 
19,– А ты кто?,Теремок,https://skazki-pesni.ru/teremok/, а ты кто 
20,– А я зайчик-побегайчик – Иди к нам жить!,Теремок,https://skazki-pesni.ru/teremok/, а я зайчик-побегайчик иди к нам жить 
